id,firstName,lastName,email,isOwner,licenseType,empUid,roleId,status,companyId,designationId,userId,avatarUrl,deletedAt
372,Ikeobi,Uchechukwu,snapnetdemo@gmail.com,1,deactivated,SNAPD0001,141,confirmed,53,83.0,167.0,,
373,Ajaz, Paul,ajaz@snapdemo.com,0,deactivated,SD0001101,142,probation,53,110.0,,,
374,Muideen,Udegbunam,muideen@snapdemo.com,0,deactivated,SD0001102,142,probation,53,105.0,,,
375,Yusuf,Usman,yusuf@snapdemo.com,0,deactivated,SD0001103,142,probation,53,109.0,168.0,,
376,Charles, Ajibola,charles@snapdemo.com,0,deactivated,SD0001104,142,probation,53,76.0,,,
391,Abdullahi,Coker,abdullahi@snapdemo.com,0,deactivated,SD0001105,142,probation,53,98.0,,,
392,Abdulrahman,Maikudi,abdulrahman@snapdemo.com,0,deactivated,SD0001106,142,probation,53,103.0,,,
393,Mohammed,Stephen,mohammed@snapdemo.com,0,deactivated,SD0001107,142,probation,53,92.0,169.0,,
394,Ibrahim,Rabiu,ibrahim@snapdemo.com,0,deactivated,SD0001108,142,probation,53,108.0,170.0,,
395,David,Bashir,david@snapdemo.com,0,deactivated,SD0001109,142,probation,53,90.0,177.0,,
396,Comfort,Mohammed,comfort@snapdemo.com,0,deactivated,SD0001110,142,probation,53,95.0,171.0,,
397,Ali,Jidda,ali@snapdemo.com,0,deactivated,SD0001111,142,probation,53,104.0,172.0,,
398,Ijeoma,Udoye,ijeoma@snapdemo.com,0,deactivated,SD0001112,142,probation,53,107.0,173.0,,
399,Ibiyemi,Kolade,ibiyemi@snapdemo.com,0,deactivated,SD0001113,142,probation,53,78.0,,,
400,Adeoye,Lawal,adeoye@snapdemo.com,0,deactivated,SD0001114,142,probation,53,99.0,,,
401,Irene,Okhamena,irene@snapdemo.com,0,deactivated,SD0001115,142,probation,53,85.0,174.0,,
402,Edo,Dire,edo@snapdemo.com,0,deactivated,SD0001116,142,probation,53,103.0,178.0,,
403,Ayobiyi,Ebede,ayobiyi@snapdemo.com,0,deactivated,SD0001117,142,probation,53,102.0,175.0,,
404,Oladipo,Ambeke,oladipo@snapdemo.com,0,licensed,SD0001118,142,probation,53,89.0,176.0,,
405,Lawal ,Sambo,lawal@snapdemo.com,0,licensed,SD0001119,142,probation,53,106.0,,,
416,Waziri ,Igharo,waziri@snapdemo.com,0,licensed,SD0001120,142,probation,53,99.0,,,
417,Adebowale ,Ishola,adebowale@snapdemo.com,0,licensed,SD0001121,142,probation,53,89.0,,,
419,Yunus , Oyefeso,yunus@snapdemo.com,0,licensed,SD0001122,142,probation,53,91.0,,,
420,Naimat ,Sanusi,naimat@snapdemo.com,0,licensed,SD0001123,142,probation,53,86.0,179.0,,
421,Vincent ,Renos,vincent@snapdemo.com,0,licensed,SD0001124,142,probation,53,93.0,180.0,,
422,Hamza ,Gbadegesin,hamza@snapdemo.com,0,licensed,SD0001125,142,probation,53,74.0,181.0,,
423,Carol ,Akindele,carol@snapdemo.com,0,licensed,SD0001126,142,probation,53,87.0,,,
424,Caroline ,Ejimadu,caroline@snapdemo.com,0,licensed,SD0001127,142,probation,53,104.0,182.0,,
425,Solomon , Ugbegua,solomon@snapdemo.com,0,licensed,SD0001128,142,probation,53,,183.0,,
426,Gloria ,Mohammed,gloria@snapdemo.com,0,licensed,SD0001129,142,probation,53,109.0,184.0,,
427,Wilfred ,Abodunrin,wilfred@snapdemo.com,0,licensed,SD0001130,142,probation,53,97.0,185.0,,
428,Tapji , Ogunsola,tapji@snapdemo.com,0,licensed,SD0001131,142,probation,53,98.0,186.0,,
429,Saad ,Agbeniyi,saad@snapdemo.com,0,licensed,SD0001132,142,probation,53,109.0,187.0,,
430,Jane ,Goodluck,jane@snapdemo.com,0,licensed,SD0001133,142,probation,53,78.0,188.0,,
431,Tracy ,Idris,tracy@snapdemo.com,0,licensed,SD0001134,142,probation,53,96.0,189.0,,
432,Simon ,Solomon,simon@snapdemo.com,0,licensed,SD0001135,142,probation,53,82.0,190.0,,
