id,employeeId,fullName,address,relationship,phoneNumber,companyId
12,374,Ngozi Abubakar,8 Ibadan Close,girlfriend,07082345678,53
13,375,Tunde Adeyemi,23 Enugu Crescent,cousin,08123456789,53
14,376,Chinwe Onyeka,51 Abuja Road,niece,09054567890,53
15,391,Emeka Nwosu,12 Osogbo Lane,cousin,08065678901,53
16,392,Funke Oluwaseun,33 Kaduna Drive,girlfriend,07096789012,53
17,393,Ahmed Ibrahim,9 Onitsha Avenue,cousin,08137890123,53
18,394,Ifeoma Eze,19 Abeokuta Street,niece,08078901234,53
19,395,Adeola Adebayo,76 Port Harcourt Road,brother,09089012345,53
20,396,Obinna Chukwu,25 Ilorin Boulevard,cousin,08140123456,53
21,397,Kemi Adekunle,63 Maiduguri Lane,sister,08091234567,53
22,398,Yusuf Mohammed,37 Aba Close,niece,07012345678,53
23,399,Nneka Okoro,58 Benin Street,cousin,08103456789,53
24,400,Jide Ogunleye,14 Ondo Crescent,cousin,09064567890,53
25,401,Folake Akinwumi,29 Calabar Avenue,girlfriend,08085678901,53
26,402,Chinedu Eze,47 Sokoto Road,cousin,07026789012,53
27,403,Bukola Balogun,10 Katsina Close,girlfriend,08157890123,53
28,404,Olumide Olatunji,55 Jos Lane,niece,08028901234,53
29,405,Chioma Nnamdi,82 Bauchi Drive,brother,09099012345,53
30,416,Ibrahim Suleiman,3 Yola Street,cousin,08160123456,53
53,417,Aisha Lawal,91 Zaria Avenue,girlfriend,07031234567,53
54,419,Taiwo Adeolu,16 Owerri Lane,niece,08012345678,53
55,420,Amarachi Igwe,70 Uyo Close,cousin,08113456789,53
56,421,Segun Ogundele,27 Lokoja Road,cousin,09074567890,53
57,422,Yetunde Alabi,45 Asaba Crescent,girlfriend,08055678901,53
58,423,Ayodele Afolabi,78 Makurdi Lane,cousin,07086789012,53
59,424,Nnamdi Obi,21 Minna Close,niece,08100123456,53
60,425,Oyinkansola Adeleke,36 Gombe Road,cousin,09041234567,53
61,426,Musa Bello,59 Yenagoa Street,brother,0802234 5678,53
62,427,Eberechi Okafor,32 Gusau Close,cousin,07053456789,53
63,428,Ifeoluwa Adeyemi,68 Ogbomosho Avenue,cousin,08144567890,53
64,429,Uchechi Uzoma,11 Jalingo Drive,sister,08075678901,53
65,430,Usman Abdullahi,84 Lafia Street,brother,07016789012,53
66,431,Chinelo Nwachukwu,7 Yenagoa Close,niece,08157890123,53
67,432,Oladapo Adewale,41 Akure Lane,cousin,09039012345,53
68,433,Adaeze Okonkwo,74 Enugu Close,girlfriend,08040123456,53
69,434,Dayo Olajide,22 Warri Avenue,niece,07021234567,53
70,435,Temitope Adekoya,39 Kogi Crescent,cousin,08102345678,53
71,436,Yakubu Ibrahim,88 Sokoto Lane,cousin,09063456789,53
72,437,Nkemjika Obi,5 Maiduguri Close,girlfriend,08084567890,53
73,438,Adewale Adeniyi,17 Osogbo Road,cousin,07055678901,53
74,439,Hadiza Abubakar,53 Lokoja Lane,cousin,08146789012,53
75,440,Ayomide Adetola,26 Calabar Street,cousin,09017890123,53
76,441,Chukwudi Okeke,67 Kaduna Crescent,girlfriend,08039012345,53
77,442,Nkemakolam Nwosu,95 Zaria Close,niece,07090123456,53
78,443,Ibrahim Adekunle,12 Jos Road,cousin,08161234567,53
79,444,Chinweike Eze,31 Abeokuta Avenue,cousin,09022345678,53
80,445,Halima Aliyu,64 Makurdi Close,girlfriend,08073456789,53
81,446,Babatunde Ogunlade,28 Asaba Lane,brother,08154567890,53
82,447,Onyinyechukwu Okoye,49 Kano Street,niece,07015678901,53
83,448,Abdulahi Yusuf,72 Gombe Avenue,cousin,08106789012,53
84,449,Adaobi Nwankwo,9 Katsina Street,cousin,09047890123,53
85,450,Oluwaseyi Alade,35 Ilorin Close,cousin,08029012345,53
