id,dob,gender,phoneNumber,eligibility,maritalStatus,nationality,addressId,employeeId,companyId,passportExpirationDate,validDocumentUrl,alternativeEmail,alternativePhoneNumber,nin,exchangeRateId
242,1982-03-15,male,07082345678,citizen,divorced,nigeria,,374,53,,,Ayoola@gomayah.com,07082345678,12345678901,36.0
243,1990-07-22,male,08123456789,citizen,single,nigeria,,375,53,,,bukola@gomayah.com,08123456789,23456789012,36.0
244,1979-11-30,male,09054567890,citizen,married,nigeria,,376,53,,,Ayoola@gomayah.com,09054567890,34567890123,36.0
245,1985-01-12,male,08065678901,citizen,single,nigeria,,391,53,,,daniel@gomayah.com,08065678901,45678901234,36.0
246,1994-04-18,male,07096789012,citizen,single,nigeria,,392,53,,,ridwan@gomayah.com,07096789012,56789012345,36.0
247,1988-05-26,male,08137890123,expatriate,married,south africa,,393,53,2027-09-17,,faith@gomayah.com,08137890123,67890123456,36.0
248,1981-09-08,male,08078901234,citizen,married,nigeria,,394,53,,,favour@gomayah.com,08078901234,78901234567,36.0
249,1997-02-14,male,09089012345,expatriate,single,ghana,,395,53,2025-06-27,,henry@gomayah.com,09089012345,89012345678,36.0
250,1991-12-01,female,08140123456,expatriate,single,ghana,,396,53,2026-06-22,,josiah@gomayah.com,08140123456,90123456789,36.0
251,1987-06-21,male,08091234567,citizen,married,nigeria,,397,53,,,Joseph@gomayah.com,08091234567,11234567890,36.0
252,1983-10-03,female,07012345678,citizen,married,nigeria,,398,53,,,Ayoola@gomayah.com,07012345678,22345678901,36.0
253,1978-11-15,female,08103456789,citizen,divorced,nigeria,,399,53,,,bukola@gomayah.com,08103456789,33456789012,36.0
254,1992-08-29,male,09064567890,citizen,single,nigeria,,400,53,,,Ayoola@gomayah.com,09064567890,44567890123,36.0
255,1980-07-05,female,08085678901,citizen,married,nigeria,,401,53,,,daniel@gomayah.com,08085678901,55678901234,36.0
256,1996-04-07,male,07026789012,citizen,single,nigeria,,402,53,,,ridwan@gomayah.com,07026789012,66789012345,36.0
257,1984-12-19,female,08157890123,citizen,married,nigeria,,403,53,,,faith@gomayah.com,08157890123,77890123456,36.0
258,1989-01-24,male,08028901234,citizen,married,nigeria,,404,53,,,favour@gomayah.com,08028901234,88901234567,36.0
259,1977-03-10,male,09099012345,expatriate,widowed,mali,,405,53,2028-02-14,,henry@gomayah.com,09099012345,99012345678,36.0
260,1986-08-11,male,08160123456,citizen,married,nigeria,,416,53,,,josiah@gomayah.com,08160123456,10123456789,36.0
283,1980-02-26,male,07031234567,citizen,divorced,nigeria,,417,53,,,nmesoma@bidautomate.com,07031234567,21234567890,36.0
284,1995-11-03,male,08012345678,citizen,single,nigeria,,419,53,,,oluchi@bidautomate.com,08012345678,32345678901,36.0
285,1981-09-20,female,08113456789,citizen,married,nigeria,,420,53,,,oyindamola@bidautomate.com,08113456789,43456789012,36.0
286,1998-05-15,male,09074567890,citizen,single,nigeria,,421,53,,,precious@bidautomate.com,09074567890,54567890123,36.0
287,1984-01-05,male,08055678901,citizen,married,nigeria,,422,53,,,valentina@bidautomate.com,08055678901,65678901234,36.0
288,1990-10-17,female,07086789012,citizen,single,nigeria,,423,53,,,victor@bidautomate.com,07086789012,76789012345,36.0
289,1987-06-30,female,08100123456,citizen,married,nigeria,,424,53,,,vincent@bidautomate.com,08100123456,87890123456,36.0
290,1993-07-12,male,09041234567,expatriate,single,nigeria,,425,53,2024-10-30,,esther@bidautomate.com,09041234567,98901234567,36.0
291,1985-03-18,female,0802234 5678,expatriate,married,south africa,,426,53,2026-06-22,,adedayo@bidautomate.com,0802234 5678,19123456789,36.0
292,1981-09-25,male,07053456789,citizen,married,nigeria,,427,53,2028-02-14,,ijeoma@bidautomate.com,07053456789,29234567890,36.0
293,1979-12-08,male,08144567890,citizen,divorced,nigeria,,428,53,,,nmesoma@bidautomate.com,08144567890,39345678901,36.0
294,1990-05-20,male,08075678901,citizen,single,nigeria,,429,53,,,oluchi@bidautomate.com,08075678901,49456789012,36.0
295,1996-06-17,female,07016789012,expatriate,single,mali,,430,53,2026-06-22,,oyindamola@bidautomate.com,07016789012,59567890123,36.0
296,1982-02-19,female,08157890123,citizen,married,nigeria,,431,53,2028-02-14,,precious@bidautomate.com,08157890123,69678901234,36.0
297,1991-08-21,male,09039012345,citizen,single,nigeria,,432,53,,,valentina@bidautomate.com,09039012345,79789012345,36.0
298,1986-01-02,female,08040123456,citizen,single,nigeria,,433,53,,,victor@bidautomate.com,08040123456,89890123456,36.0
